Date,Category,Type,Amount (USD),Description
2024-03-20,Entertainment,Expense,802,Random entertainment transaction
2024-11-15,Groceries,Expense,2105,Random groceries transaction
2024-04-15,Loan Payment,Expense,3280,Random loan payment transaction
2024-01-12,Savings,Goal,5215,Random savings transaction
2024-09-30,Groceries,Expense,898,Random groceries transaction
2024-10-14,Transportation,Expense,906,Random transportation transaction
2024-08-04,Groceries,Expense,4646,Random groceries transaction
2024-06-09,Insurance,Expense,1350,Random insurance transaction
2024-09-16,Rent,Expense,265,Random rent transaction
2024-02-09,Dining Out,Expense,1125,Random dining out transaction
2024-10-16,Savings,Goal,334,Random savings transaction
2024-08-29,Salary,Income,4112,Random salary transaction
2024-02-28,Dining Out,Expense,4693,Random dining out transaction
2024-12-14,Savings,Goal,6225,Random savings transaction
2024-11-29,Transportation,Expense,805,Random transportation transaction
2024-04-01,Groceries,Expense,2093,Random groceries transaction
2024-02-26,Groceries,Expense,2004,Random groceries transaction
2024-10-03,Savings,Goal,1311,Random savings transaction
2024-08-05,Dining Out,Expense,1916,Random dining out transaction
2024-06-19,Dining Out,Expense,2426,Random dining out transaction
2024-08-03,Miscellaneous,Expense,101,Random miscellaneous transaction
2024-09-02,Salary,Income,8426,Random salary transaction
2024-03-12,Dining Out,Expense,4286,Random dining out transaction
2024-12-14,Miscellaneous,Expense,3043,Random miscellaneous transaction
2024-04-11,Loan Payment,Expense,1319,Random loan payment transaction
2024-10-11,Insurance,Expense,2408,Random insurance transaction
2024-03-10,Entertainment,Expense,2724,Random entertainment transaction
2024-03-03,Entertainment,Expense,3676,Random entertainment transaction
2024-08-17,Groceries,Expense,4633,Random groceries transaction
2024-03-19,Insurance,Expense,358,Random insurance transaction
2024-02-16,Loan Payment,Expense,252,Random loan payment transaction
2024-07-27,Utilities,Expense,1028,Random utilities transaction
2024-01-30,Groceries,Expense,680,Random groceries transaction
2024-05-01,Transportation,Expense,3073,Random transportation transaction
2024-07-12,Utilities,Expense,2368,Random utilities transaction
2024-04-30,Dining Out,Expense,3476,Random dining out transaction
2024-01-14,Entertainment,Expense,508,Random entertainment transaction
2024-04-28,Utilities,Expense,3288,Random utilities transaction
2024-07-10,Transportation,Expense,1521,Random transportation transaction
2024-06-18,Dining Out,Expense,4754,Random dining out transaction
2024-09-08,Transportation,Expense,4775,Random transportation transaction
2024-11-05,Insurance,Expense,27,Random insurance transaction
2024-06-11,Utilities,Expense,4648,Random utilities transaction
2024-09-03,Miscellaneous,Expense,233,Random miscellaneous transaction
2024-09-02,Rent,Expense,1564,Random rent transaction
2024-04-24,Freelance Income,Income,8532,Random freelance income transaction
2024-09-16,Groceries,Expense,4499,Random groceries transaction
2024-04-13,Rent,Expense,1684,Random rent transaction
2024-01-24,Groceries,Expense,516,Random groceries transaction
2024-09-26,Savings,Goal,6262,Random savings transaction
2024-11-16,Utilities,Expense,1765,Random utilities transaction
2024-09-11,Rent,Expense,3220,Random rent transaction
2024-02-19,Insurance,Expense,1979,Random insurance transaction
2024-09-28,Savings,Goal,3538,Random savings transaction
2024-08-10,Insurance,Expense,1203,Random insurance transaction
2024-05-18,Insurance,Expense,1623,Random insurance transaction
2024-02-25,Entertainment,Expense,3166,Random entertainment transaction
